Name,State,Type,Region
California State University-Bakersfield,CA,Public,West
California State University-Stanislaus,CA,Public,West
California State University-San Bernardino,CA,Public,West
California State Polytechnic University-Pomona,CA,Public,West
California State University-Chico,CA,Public,West
California State University-Dominguez Hills,CA,Public,West
California State University-Fresno,CA,Public,West
California State University-Fullerton,CA,Public,West
California State University-East Bay,CA,Public,West
California State University-Long Beach,CA,Public,West
California State University-Los Angeles,CA,Public,West
California State University-Northridge,CA,Public,West
California State University-Sacramento,CA,Public,West
University of California-Berkeley,CA,Public,West
University of California-Davis,CA,Public,West
University of California-Irvine,CA,Public,West
University of California-Los Angeles,CA,Public,West
University of California-Riverside,CA,Public,West
University of California-San Diego,CA,Public,West
University of California-Santa Barbara,CA,Public,West
University of California-Santa Cruz,CA,Public,West
California State University Maritime Academy,CA,Public,West
Humboldt State University,CA,Public,West
San Diego State University,CA,Public,West
San Francisco State University,CA,Public,West
San Jose State University,CA,Public,West
Sonoma State University,CA,Public,West
Adams State University,CO,Public,West
University of Colorado Denver/Anschutz Medical Campus,CO,Public,West
University of Colorado Colorado Springs,CO,Public,West
University of Colorado Boulder,CO,Public,West
Colorado School of Mines,CO,Public,West
Colorado State University-Fort Collins,CO,Public,West
Fort Lewis College,CO,Public,West
Colorado Mesa University,CO,Public,West
Metropolitan State University of Denver,CO,Public,West
University of Northern Colorado,CO,Public,West
Colorado State University-Pueblo,CO,Public,West
United States Air Force Academy,CO,Public,West
Western State Colorado University,CO,Public,West
Central Connecticut State University,CT,Public,Northeast
Charter Oak State College,CT,Public,Northeast
University of Connecticut,CT,Public,Northeast
Eastern Connecticut State University,CT,Public,Northeast
Southern Connecticut State University,CT,Public,Northeast
United States Coast Guard Academy,CT,Public,Northeast
Western Connecticut State University,CT,Public,Northeast
Delaware State University,DE,Public,Northeast
University of Delaware,DE,Public,Northeast
University of the District of Columbia,DC,Public,Northeast
University of Central Florida,FL,Public,Southeast
Florida Agricultural and Mechanical University,FL,Public,Southeast
Florida Atlantic University,FL,Public,Southeast
Florida International University,FL,Public,Southeast
Florida State University,FL,Public,Southeast
University of Florida,FL,Public,Southeast
University of North Florida,FL,Public,Southeast
University of South Florida-Main Campus,FL,Public,Southeast
The University of West Florida,FL,Public,Southeast
Armstrong State University,GA,Public,Southeast
Clayton  State University,GA,Public,Southeast
Columbus State University,GA,Public,Southeast
Dalton State College,GA,Public,Southeast
Fort Valley State University,GA,Public,Southeast
Georgia Institute of Technology-Main Campus,GA,Public,Southeast
Georgia Southwestern State University,GA,Public,Southeast
Georgia College & State University,GA,Public,Southeast
Georgia Southern University,GA,Public,Southeast
Georgia State University,GA,Public,Southeast
University of Georgia,GA,Public,Southeast
Savannah State University,GA,Public,Southeast
Valdosta State University,GA,Public,Southeast
University of West Georgia,GA,Public,Southeast
University of Hawaii at Hilo,HI,Public,West
University of Hawaii at Manoa,HI,Public,West
University of Hawaii-West Oahu,HI,Public,West
Boise State University,ID,Public,West
Idaho State University,ID,Public,West
University of Idaho,ID,Public,West
Lewis-Clark State College,ID,Public,West
Chicago State University,IL,Public,Midwest
Eastern Illinois University,IL,Public,Midwest
Governors State University,IL,Public,Midwest
University of Illinois at Chicago,IL,Public,Midwest
University of Illinois at Urbana-Champaign,IL,Public,Midwest
Illinois State University,IL,Public,Midwest
Northern Illinois University,IL,Public,Midwest
Northeastern Illinois University,IL,Public,Midwest
University of Illinois at Springfield,IL,Public,Midwest
Southern Illinois University-Carbondale,IL,Public,Midwest
Southern Illinois University-Edwardsville,IL,Public,Midwest
Western Illinois University,IL,Public,Midwest
Ball State University,IN,Public,Midwest
Purdue University Fort Wayne,IN,Public,Midwest
Indiana University-Purdue University-Indianapolis,IN,Public,Midwest
University of Southern Indiana,IN,Public,Midwest
Indiana State University,IN,Public,Midwest
Indiana University-Kokomo,IN,Public,Midwest
Indiana University-South Bend,IN,Public,Midwest
Indiana University-Bloomington,IN,Public,Midwest
Indiana University-Northwest,IN,Public,Midwest
Indiana University-Southeast,IN,Public,Midwest
Indiana University-East,IN,Public,Midwest
Iowa State University,IA,Public,Midwest
University of Iowa,IA,Public,Midwest
University of Northern Iowa,IA,Public,Midwest
Emporia State University,KS,Public,Midwest
Fort Hays State University,KS,Public,Midwest
Haskell Indian Nations University,KS,Public,Midwest
University of Kansas,KS,Public,Midwest
Kansas State University,KS,Public,Midwest
Pittsburg State University,KS,Public,Midwest
Washburn University,KS,Public,Midwest
Wichita State University,KS,Public,Midwest
Eastern Kentucky University,KY,Public,Southeast
Kentucky State University,KY,Public,Southeast
University of Kentucky,KY,Public,Southeast
University of Louisville,KY,Public,Southeast
Morehead State University,KY,Public,Southeast
Murray State University,KY,Public,Southeast
Northern Kentucky University,KY,Public,Southeast
Western Kentucky University,KY,Public,Southeast
Grambling State University,LA,Public,Southeast
Louisiana State University Health Sciences Center-New Orleans,LA,Public,Southeast
Louisiana State University-Alexandria,LA,Public,Southeast
Louisiana State University and Agricultural & Mechanical College,LA,Public,Southeast
Louisiana State University-Shreveport,LA,Public,Southeast
Louisiana Tech University,LA,Public,Southeast
McNeese State University,LA,Public,Southeast
University of New Orleans,LA,Public,Southeast
Nicholls State University,LA,Public,Southeast
University of Louisiana at Monroe,LA,Public,Southeast
Northwestern State University of Louisiana,LA,Public,Southeast
Southeastern Louisiana University,LA,Public,Southeast
Southern University and A & M College,LA,Public,Southeast
Southern University at New Orleans,LA,Public,Southeast
University of Louisiana at Lafayette,LA,Public,Southeast
University of Maine at Augusta,ME,Public,Northeast
University of Maine at Farmington,ME,Public,Northeast
University of Maine at Fort Kent,ME,Public,Northeast
University of Maine at Machias,ME,Public,Northeast
University of Maine,ME,Public,Northeast
Maine Maritime Academy,ME,Public,Northeast
University of Maine at Presque Isle,ME,Public,Northeast
University of Southern Maine,ME,Public,Northeast
University of Baltimore,MD,Public,Northeast
Bowie State University,MD,Public,Northeast
Coppin State University,MD,Public,Northeast
Frostburg State University,MD,Public,Northeast
University of Maryland-University College,MD,Public,Northeast
University of Maryland Baltimore,MD,Public,Northeast
University of Maryland-Baltimore County,MD,Public,Northeast
University of Maryland-College Park,MD,Public,Northeast
University of Maryland Eastern Shore,MD,Public,Northeast
Morgan State University,MD,Public,Northeast
Salisbury University,MD,Public,Northeast
St. Mary's College of Maryland,MD,Public,Northeast
Towson University,MD,Public,Northeast
United States Naval Academy,MD,Public,Northeast
Bridgewater State University,MA,Public,Northeast
Fitchburg State University,MA,Public,Northeast
Framingham State University,MA,Public,Northeast
University of Massachusetts-Lowell,MA,Public,Northeast
University of Massachusetts-Amherst,MA,Public,Northeast
University of Massachusetts-Boston,MA,Public,Northeast
Massachusetts College of Art and Design,MA,Public,Northeast
Massachusetts Maritime Academy,MA,Public,Northeast
Massachusetts College of Liberal Arts,MA,Public,Northeast
Salem State University,MA,Public,Northeast
University of Massachusetts-Dartmouth,MA,Public,Northeast
Westfield State University,MA,Public,Northeast
Worcester State University,MA,Public,Northeast
Central Michigan University,MI,Public,Midwest
Eastern Michigan University,MI,Public,Midwest
Ferris State University,MI,Public,Midwest
Grand Valley State University,MI,Public,Midwest
Lake Superior State University,MI,Public,Midwest
University of Michigan-Ann Arbor,MI,Public,Midwest
Michigan State University,MI,Public,Midwest
Michigan Technological University,MI,Public,Midwest
University of Michigan-Dearborn,MI,Public,Midwest
University of Michigan-Flint,MI,Public,Midwest
Northern Michigan University,MI,Public,Midwest
Oakland University,MI,Public,Midwest
Saginaw Valley State University,MI,Public,Midwest
Wayne State University,MI,Public,Midwest
Western Michigan University,MI,Public,Midwest
Bemidji State University,MN,Public,Midwest
Minnesota State University-Mankato,MN,Public,Midwest
Metropolitan State University,MN,Public,Midwest
University of Minnesota-Twin Cities,MN,Public,Midwest
University of Minnesota-Crookston,MN,Public,Midwest
University of Minnesota-Duluth,MN,Public,Midwest
University of Minnesota-Morris,MN,Public,Midwest
Minnesota State University Moorhead,MN,Public,Midwest
Saint Cloud State University,MN,Public,Midwest
Southwest Minnesota State University,MN,Public,Midwest
Winona State University,MN,Public,Midwest
Alcorn State University,MS,Public,Southeast
Delta State University,MS,Public,Southeast
Jackson State University,MS,Public,Southeast
University of Mississippi,MS,Public,Southeast
Mississippi University for Women,MS,Public,Southeast
Mississippi Valley State University,MS,Public,Southeast
Mississippi State University,MS,Public,Southeast
University of Southern Mississippi,MS,Public,Southeast
University of Central Missouri,MO,Public,Midwest
Harris-Stowe State University,MO,Public,Midwest
Lincoln University,MO,Public,Midwest
Missouri Southern State University,MO,Public,Midwest
Missouri Western State University,MO,Public,Midwest
University of Missouri-Columbia,MO,Public,Midwest
University of Missouri-Kansas City,MO,Public,Midwest
Missouri University of Science and Technology,MO,Public,Midwest
University of Missouri-St Louis,MO,Public,Midwest
Truman State University,MO,Public,Midwest
Northwest Missouri State University,MO,Public,Midwest
Southeast Missouri State University,MO,Public,Midwest
Missouri State University-Springfield,MO,Public,Midwest
Montana State University Billings,MT,Public,West
Montana Technological University,MT,Public,West
Montana State University,MT,Public,West
The University of Montana,MT,Public,West
Montana State University-Northern,MT,Public,West
The University of Montana-Western,MT,Public,West
Chadron State College,NE,Public,Midwest
University of Nebraska at Kearney,NE,Public,Midwest
University of Nebraska at Omaha,NE,Public,Midwest
University of Nebraska Medical Center,NE,Public,Midwest
University of Nebraska-Lincoln,NE,Public,Midwest
Peru State College,NE,Public,Midwest
Wayne State College,NE,Public,Midwest
University of Nevada-Las Vegas,NV,Public,West
University of Nevada-Reno,NV,Public,West
University of New Hampshire-Main Campus,NH,Public,Northeast
Keene State College,NH,Public,Northeast
University of New Hampshire at Manchester,NH,Public,Northeast
Plymouth State University,NH,Public,Northeast
Granite State College,NH,Public,Northeast
Rowan University,NJ,Public,Northeast
New Jersey City University,NJ,Public,Northeast
Kean University,NJ,Public,Northeast
Montclair State University,NJ,Public,Northeast
New Jersey Institute of Technology,NJ,Public,Northeast
Ramapo College of New Jersey,NJ,Public,Northeast
Rutgers University-Camden,NJ,Public,Northeast
Rutgers University-New Brunswick,NJ,Public,Northeast
Rutgers University-Newark,NJ,Public,Northeast
Stockton University,NJ,Public,Northeast
Thomas Edison State University,NJ,Public,Northeast
The College of New Jersey,NJ,Public,Northeast
William Paterson University of New Jersey,NJ,Public,Northeast
Eastern New Mexico University-Main Campus,NM,Public,West
Institute of American Indian and Alaska Native Culture and Arts Development,NM,Public,West
New Mexico Highlands University,NM,Public,West
New Mexico Institute of Mining and Technology,NM,Public,West
University of New Mexico-Main Campus,NM,Public,West
New Mexico State University-Main Campus,NM,Public,West
Western New Mexico University,NM,Public,West
CUNY Bernard M Baruch College,NY,Public,Northeast
CUNY Brooklyn College,NY,Public,Northeast
College of Staten Island CUNY,NY,Public,Northeast
CUNY City College,NY,Public,Northeast
CUNY Graduate School and University Center,NY,Public,Northeast
CUNY Hunter College,NY,Public,Northeast
CUNY John Jay College of Criminal Justice,NY,Public,Northeast
CUNY Lehman College,NY,Public,Northeast
CUNY Queens College,NY,Public,Northeast
CUNY York College,NY,Public,Northeast
SUNY College of Technology at Canton,NY,Public,Northeast
SUNY College of Agriculture and Technology at Cobleskill,NY,Public,Northeast
Farmingdale State College,NY,Public,Northeast
SUNY at Albany,NY,Public,Northeast
Binghamton University,NY,Public,Northeast
University at Buffalo,NY,Public,Northeast
Stony Brook University,NY,Public,Northeast
SUNY College of Environmental Science and Forestry,NY,Public,Northeast
SUNY Polytechnic Institute,NY,Public,Northeast
SUNY College at Brockport,NY,Public,Northeast
SUNY Buffalo State,NY,Public,Northeast
SUNY Cortland,NY,Public,Northeast
SUNY at Fredonia,NY,Public,Northeast
SUNY College at Geneseo,NY,Public,Northeast
State University of New York at New Paltz,NY,Public,Northeast
SUNY Oneonta,NY,Public,Northeast
SUNY College at Oswego,NY,Public,Northeast
SUNY College at Potsdam,NY,Public,Northeast
SUNY at Purchase College,NY,Public,Northeast
SUNY College at Old Westbury,NY,Public,Northeast
SUNY College at Plattsburgh,NY,Public,Northeast
SUNY Downstate Medical Center,NY,Public,Northeast
SUNY Empire State College,NY,Public,Northeast
SUNY Maritime College,NY,Public,Northeast
Upstate Medical University,NY,Public,Northeast
United States Merchant Marine Academy,NY,Public,Northeast
United States Military Academy,NY,Public,Northeast
Appalachian State University,NC,Public,Southeast
East Carolina University,NC,Public,Southeast
Elizabeth City State University,NC,Public,Southeast
Fayetteville State University,NC,Public,Southeast
North Carolina A & T State University,NC,Public,Southeast
University of North Carolina at Asheville,NC,Public,Southeast
University of North Carolina at Chapel Hill,NC,Public,Southeast
University of North Carolina at Charlotte,NC,Public,Southeast
University of North Carolina at Greensboro,NC,Public,Southeast
North Carolina Central University,NC,Public,Southeast
University of North Carolina School of the Arts,NC,Public,Southeast
North Carolina State University at Raleigh,NC,Public,Southeast
University of North Carolina Wilmington,NC,Public,Southeast
University of North Carolina at Pembroke,NC,Public,Southeast
Winston-Salem State University,NC,Public,Southeast
Western Carolina University,NC,Public,Southeast
Dickinson State University,ND,Public,Midwest
Mayville State University,ND,Public,Midwest
Minot State University,ND,Public,Midwest
University of North Dakota,ND,Public,Midwest
North Dakota State University-Main Campus,ND,Public,Midwest
Valley City State University,ND,Public,Midwest
University of Akron Main Campus,OH,Public,Midwest
Bowling Green State University-Main Campus,OH,Public,Midwest
Central State University,OH,Public,Midwest
University of Cincinnati-Main Campus,OH,Public,Midwest
Cleveland State University,OH,Public,Midwest
Kent State University at Kent,OH,Public,Midwest
Miami University-Hamilton,OH,Public,Midwest
Miami University-Middletown,OH,Public,Midwest
Miami University-Oxford,OH,Public,Midwest
Ohio State University-Main Campus,OH,Public,Midwest
Ohio University-Main Campus,OH,Public,Midwest
Shawnee State University,OH,Public,Midwest
University of Toledo,OH,Public,Midwest
Wright State University-Main Campus,OH,Public,Midwest
Wright State University-Lake Campus,OH,Public,Midwest
Youngstown State University,OH,Public,Midwest
Cameron University,OK,Public,West
University of Central Oklahoma,OK,Public,West
East Central University,OK,Public,West
Langston University,OK,Public,West
Northeastern State University,OK,Public,West
Northwestern Oklahoma State University,OK,Public,West
University of Oklahoma-Health Sciences Center,OK,Public,West
Oklahoma Panhandle State University,OK,Public,West
Oklahoma State University-Main Campus,OK,Public,West
University of Oklahoma-Norman Campus,OK,Public,West
Rogers State University,OK,Public,West
University of Science and Arts of Oklahoma,OK,Public,West
Southeastern Oklahoma State University,OK,Public,West
Southwestern Oklahoma State University,OK,Public,West
Eastern Oregon University,OR,Public,West
Oregon Health & Science University,OR,Public,West
Oregon Institute of Technology,OR,Public,West
Oregon State University,OR,Public,West
University of Oregon,OR,Public,West
Portland State University,OR,Public,West
Southern Oregon University,OR,Public,West
Western Oregon University,OR,Public,West
Bloomsburg University of Pennsylvania,PA,Public,Northeast
California University of Pennsylvania,PA,Public,Northeast
Cheyney University of Pennsylvania,PA,Public,Northeast
Clarion University of Pennsylvania,PA,Public,Northeast
East Stroudsburg University of Pennsylvania,PA,Public,Northeast
Edinboro University of Pennsylvania,PA,Public,Northeast
Indiana University of Pennsylvania-Main Campus,PA,Public,Northeast
Kutztown University of Pennsylvania,PA,Public,Northeast
Lincoln University,PA,Public,Northeast
Lock Haven University,PA,Public,Northeast
Mansfield University of Pennsylvania,PA,Public,Northeast
Millersville University of Pennsylvania,PA,Public,Northeast
Pennsylvania State University-Penn State Erie-Behrend College,PA,Public,Northeast
Pennsylvania State University-Penn State New Kensington,PA,Public,Northeast
Pennsylvania State University-Penn State Shenango,PA,Public,Northeast
Pennsylvania State University-Penn State Wilkes-Barre,PA,Public,Northeast
Pennsylvania State University-Penn State Scranton,PA,Public,Northeast
Pennsylvania State University-Penn State Lehigh Valley,PA,Public,Northeast
Pennsylvania State University-Penn State Altoona,PA,Public,Northeast
Pennsylvania State University-Penn State Beaver,PA,Public,Northeast
Pennsylvania State University-Penn State Berks,PA,Public,Northeast
Pennsylvania State University-Penn State Harrisburg,PA,Public,Northeast
Pennsylvania State University-Penn State Brandywine,PA,Public,Northeast
Pennsylvania State University-Penn State Fayette- Eberly,PA,Public,Northeast
Pennsylvania State University-Penn State Hazleton,PA,Public,Northeast
Pennsylvania State University-Main Campus,PA,Public,Northeast
Pennsylvania State University-Penn State Greater Allegheny,PA,Public,Northeast
Pennsylvania State University-Penn State Abington,PA,Public,Northeast
Pennsylvania State University-Penn State Schuylkill,PA,Public,Northeast
Pennsylvania State University-Penn State York,PA,Public,Northeast
University of Pittsburgh-Bradford,PA,Public,Northeast
University of Pittsburgh-Greensburg,PA,Public,Northeast
University of Pittsburgh-Johnstown,PA,Public,Northeast
University of Pittsburgh-Pittsburgh Campus,PA,Public,Northeast
Shippensburg University of Pennsylvania,PA,Public,Northeast
Slippery Rock University of Pennsylvania,PA,Public,Northeast
Temple University,PA,Public,Northeast
West Chester University of Pennsylvania,PA,Public,Northeast
Rhode Island College,RI,Public,Northeast
University of Rhode Island,RI,Public,Northeast
College of Charleston,SC,Public,Southeast
Citadel Military College of South Carolina,SC,Public,Southeast
Clemson University,SC,Public,Southeast
Francis Marion University,SC,Public,Southeast
Lander University,SC,Public,Southeast
Medical University of South Carolina,SC,Public,Southeast
University of South Carolina-Aiken,SC,Public,Southeast
University of South Carolina-Beaufort,SC,Public,Southeast
University of South Carolina-Columbia,SC,Public,Southeast
Coastal Carolina University,SC,Public,Southeast
South Carolina State University,SC,Public,Southeast
University of South Carolina-Upstate,SC,Public,Southeast
Winthrop University,SC,Public,Southeast
Black Hills State University,SD,Public,Midwest
Dakota State University,SD,Public,Midwest
Northern State University,SD,Public,Midwest
South Dakota School of Mines and Technology,SD,Public,Midwest
South Dakota State University,SD,Public,Midwest
University of South Dakota,SD,Public,Midwest
Austin Peay State University,TN,Public,Southeast
East Tennessee State University,TN,Public,Southeast
University of Memphis,TN,Public,Southeast
Middle Tennessee State University,TN,Public,Southeast
The University of Tennessee-Chattanooga,TN,Public,Southeast
The University of Tennessee-Knoxville,TN,Public,Southeast
The University of Tennessee-Martin,TN,Public,Southeast
Tennessee State University,TN,Public,Southeast
Tennessee Technological University,TN,Public,Southeast
Angelo State University,TX,Public,West
Texas A & M University-Corpus Christi,TX,Public,West
Texas A&M University-Texarkana,TX,Public,West
Texas A & M University-Commerce,TX,Public,West
University of Houston-Clear Lake,TX,Public,West
University of Houston-Downtown,TX,Public,West
University of Houston-Victoria,TX,Public,West
University of Houston,TX,Public,West
Lamar University,TX,Public,West
Texas A & M International University,TX,Public,West
Midwestern State University,TX,Public,West
University of North Texas,TX,Public,West
The University of Texas Rio Grande Valley,TX,Public,West
Prairie View A & M University,TX,Public,West
Sam Houston State University,TX,Public,West
Stephen F Austin State University,TX,Public,West
Texas State University,TX,Public,West
Sul Ross State University,TX,Public,West
Tarleton State University,TX,Public,West
The University of Texas Health Science Center at San Antonio,TX,Public,West
The University of Texas Medical Branch,TX,Public,West
Texas A & M University-Kingsville,TX,Public,West
Texas A & M University-College Station,TX,Public,West
The University of Texas at Arlington,TX,Public,West
The University of Texas at Austin,TX,Public,West
The University of Texas at Dallas,TX,Public,West
The University of Texas at El Paso,TX,Public,West
The University of Texas at Tyler,TX,Public,West
The University of Texas of the Permian Basin,TX,Public,West
The University of Texas at San Antonio,TX,Public,West
Texas Southern University,TX,Public,West
Texas Tech University,TX,Public,West
Texas Woman's University,TX,Public,West
The University of Texas Health Science Center at Houston,TX,Public,West
Texas Tech University Health Sciences Center,TX,Public,West
West Texas A & M University,TX,Public,West
Southern Utah University,UT,Public,West
Utah State University,UT,Public,West
Utah Valley University,UT,Public,West
University of Utah,UT,Public,West
Weber State University,UT,Public,West
Castleton University,VT,Public,Northeast
Northern Vermont University,VT,Public,Northeast
Lyndon State College,VT,Public,Northeast
University of Vermont,VT,Public,Northeast
College of William and Mary,VA,Public,Southeast
Christopher Newport University,VA,Public,Southeast
George Mason University,VA,Public,Southeast
James Madison University,VA,Public,Southeast
Longwood University,VA,Public,Southeast
University of Mary Washington,VA,Public,Southeast
Norfolk State University,VA,Public,Southeast
Old Dominion University,VA,Public,Southeast
Radford University,VA,Public,Southeast
The University of Virginia's College at Wise,VA,Public,Southeast
Virginia Polytechnic Institute and State University,VA,Public,Southeast
Virginia Commonwealth University,VA,Public,Southeast
University of Virginia-Main Campus,VA,Public,Southeast
Virginia Military Institute,VA,Public,Southeast
Virginia State University,VA,Public,Southeast
Central Washington University,WA,Public,West
Eastern Washington University,WA,Public,West
The Evergreen State College,WA,Public,West
Washington State University,WA,Public,West
University of Washington-Seattle Campus,WA,Public,West
Western Washington University,WA,Public,West
Bluefield State College,WV,Public,Southeast
Concord University,WV,Public,Southeast
Fairmont State University,WV,Public,Southeast
Glenville State College,WV,Public,Southeast
Marshall University,WV,Public,Southeast
Shepherd University,WV,Public,Southeast
West Virginia State University,WV,Public,Southeast
West Liberty University,WV,Public,Southeast
West Virginia University,WV,Public,Southeast
University of Wisconsin-Whitewater,WI,Public,Midwest
University of Wisconsin-Eau Claire,WI,Public,Midwest
University of Wisconsin-Green Bay,WI,Public,Midwest
University of Wisconsin-La Crosse,WI,Public,Midwest
University of Wisconsin-Oshkosh,WI,Public,Midwest
University of Wisconsin-Parkside,WI,Public,Midwest
University of Wisconsin-Stout,WI,Public,Midwest
University of Wisconsin-Superior,WI,Public,Midwest
University of Wisconsin-Madison,WI,Public,Midwest
University of Wisconsin-Milwaukee,WI,Public,Midwest
University of Wisconsin-Platteville,WI,Public,Midwest
University of Wisconsin-River Falls,WI,Public,Midwest
University of Wisconsin-Stevens Point,WI,Public,Midwest
University of Wyoming,WY,Public,West
University of Guam,GU,Public,Territory
Colegio Universitario de San Juan,PR,Public,Territory
Conservatory of Music of Puerto Rico,PR,Public,Territory
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,Public,Territory
University of Puerto Rico-Aguadilla,PR,Public,Territory
University of Puerto Rico-Arecibo,PR,Public,Territory
University of Puerto Rico-Bayamon,PR,Public,Territory
University of Puerto Rico-Carolina,PR,Public,Territory
University of Puerto Rico-Cayey,PR,Public,Territory
University of Puerto Rico-Humacao,PR,Public,Territory
University of Puerto Rico-Mayaguez,PR,Public,Territory
University of Puerto Rico-Medical Sciences,PR,Public,Territory
University of Puerto Rico-Ponce,PR,Public,Territory
University of Puerto Rico-Rio Piedras,PR,Public,Territory
University of the Virgin Islands,VI,Public,Territory
Purdue University-Main Campus,IN,Public,Midwest
New College of Florida,FL,Public,Southeast
California State University-San Marcos,CA,Public,West
University of Washington-Bothell Campus,WA,Public,West
University of Washington-Tacoma Campus,WA,Public,West
Arizona State University-West,AZ,Public,West
California State University-Monterey Bay,CA,Public,West
The University of Texas MD Anderson Cancer Center,TX,Public,West
Arizona State University-Polytechnic,AZ,Public,West
Florida Gulf Coast University,FL,Public,Southeast
Louisiana State University Health Sciences Center-Shreveport,LA,Public,Southeast
University of Connecticut-Waterbury Campus,CT,Public,Northeast
University of Connecticut-Avery Point,CT,Public,Northeast
University of Connecticut-Stamford,CT,Public,Northeast
Oregon State University-Cascades Campus,OR,Public,West
Nevada State College,NV,Public,West
California State University-Channel Islands,CA,Public,West
University of California-Merced,CA,Public,West
Georgia Gwinnett College,GA,Public,Southeast
University of South Florida-St Petersburg,FL,Public,Southeast
Arizona State University-Downtown Phoenix,AZ,Public,West
University of South Florida-Sarasota-Manatee,FL,Public,Southeast
University of Minnesota-Rochester,MN,Public,Midwest
Texas A&M University-San Antonio,TX,Public,West
University of Connecticut-Hartford Campus,CT,Public,Northeast
Colorado State University-Global Campus,CO,Public,West
Pennsylvania State University-World Campus,PA,Public,Northeast
Augusta University,GA,Public,Southeast
Middle Georgia State University,GA,Public,Southeast
University of North Georgia,GA,Public,Southeast
Florida Polytechnic University,FL,Public,Southeast
Texas A & M University-Central Texas,TX,Public,West
Arizona State University-Skysong,AZ,Public,West
University of Florida-Online,FL,Public,Southeast
University of North Texas at Dallas,TX,Public,West
Kennesaw State University,GA,Public,Southeast
The University of Tennessee Health Science Center,TN,Public,Southeast
University of Arizona-South,AZ,Public,West
Purdue University Northwest,IN,Public,Midwest
University of Wisconsin-Milwaukee Flex,WI,Public,Midwest